ID_VENTA;ID_Minorista;Fecha_de_Factura;ID_REGION;ID_ESTADO;ID_CIUDAD;Producto;ID_FAMILIA;ID_GENERO;ID_CATEGORÍA;ID_CONTORNO;Tamaño;ID_COLOR ;Precio_por_Unidad;Unidades_Vendidas;Total_Ventas;Beneficio_Operativo;Margen_Operativo;ID _MVENTA
1;Amazon;17/08/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$38,00 ;87;$3.306 ;$1.719 ;52%;Online
2;Amazon;17/08/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$36,00 ;72;$2.592 ;$1.322 ;51%;Online
3;Amazon;17/08/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$54,00 ;115;$6.210 ;$3.353 ;54%;Online
4;Amazon;18/09/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$24,00 ;68;$1.632 ;$881 ;54%;Online
5;Amazon;18/09/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$23,00 ;59;$1.357 ;$679 ;50%;Online
6;Amazon;18/09/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$32,00 ;61;$1.952 ;$1.015 ;52%;Online
7;Amazon;17/10/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$32,00 ;80;$2.560 ;$1.331 ;52%;Online
8;Amazon;17/10/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$32,00 ;47;$1.504 ;$797 ;53%;Online
9;Amazon;17/10/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$41,00 ;53;$2.173 ;$1.195 ;55%;Online
10;Amazon;17/11/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$33,00 ;95;$3.135 ;$1.662 ;53%;Online
11;Amazon;17/11/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$38,00 ;91;$3.458 ;$1.902 ;55%;Online
12;Amazon;16/12/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$60,00 ;176;$10.560 ;$5.491 ;52%;Online
13;Amazon;16/12/2021;Northeast;West Virginia;Charleston;Men's Accesories;Accesorios;Caballero;Lifestyle;Gorra - Ajustable;U;Rojo;$68,00 ;122;$8.296 ;$4.563 ;55%;Online
